time,commit,label,server,scenario,metric,value
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,requests_per_sec,157343
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,p50_us,387
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,p99_us,813
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,rss_mib,4.5
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,pingpong_64,cpu_us_per_op,11.82
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_1,mib_per_sec,1631.2
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_1,rss_mib,3.0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_1,cpu_us_per_op,618.04
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_16,mib_per_sec,832.1
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_16,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_16,rss_mib,5.7
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_16,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,bulk_16,cpu_us_per_op,1142.67
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,churn_32,conns_per_sec,36559
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,churn_32,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,churn_32,rss_mib,4.4
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,churn_32,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,churn_32,cpu_us_per_op,34.41
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,hold_10000,max_open_conns,6143
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,hold_10000,hit_limit,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,hold_10000,rss_mib,31.7
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,roc,hold_10000,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,requests_per_sec,66727
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,p50_us,14
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,p99_us,31
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,rss_mib,1.5
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_1,cpu_us_per_op,4.65
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,requests_per_sec,164619
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,p50_us,378
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,p99_us,508
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,rss_mib,1.8
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,pingpong_64,cpu_us_per_op,11.11
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_1,mib_per_sec,1694.2
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_1,rss_mib,1.6
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_1,cpu_us_per_op,593.06
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_16,mib_per_sec,1527.5
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_16,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_16,rss_mib,1.6
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_16,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,bulk_16,cpu_us_per_op,1038.83
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,churn_32,conns_per_sec,36898
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,churn_32,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,churn_32,rss_mib,1.9
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,churn_32,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,churn_32,cpu_us_per_op,38.97
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,hold_10000,max_open_conns,6143
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,hold_10000,hit_limit,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,hold_10000,rss_mib,16.4
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,threads,hold_10000,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,requests_per_sec,62294
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,p50_us,14
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,p99_us,41
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,errors,0
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,rss_mib,2.1
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,server_survived,True
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_1,cpu_us_per_op,5.43
2026-09-26T08:11:10,3d4a434-dirty,shed at limits,tokio,pingpong_64,requests_per_sec,166655
